StudentID,Subject,July,August,September,October,November,December,SubjectAverage,OverallAverage
0031,CBCA203,67,57,67,50,65,58,61,59
0031,CBCA204,66,63,54,60,54,54,59,59
0032,CBCA201,79,70,73,70,72,73,73,78
0032,CBCA202,82,84,81,85,76,82,82,78
0032,CBCA203,73,88,80,88,71,66,78,78
0032,CBCA204,84,82,79,80,78,71,79,78
0033,CBCA201,34,37,39,39,45,45,40,37
0033,CBCA202,39,33,43,40,42,33,38,37
0033,CBCA203,48,35,35,29,34,34,36,37
0033,CBCA204,30,34,33,37,31,37,34,37
0034,CBCA201,77,85,84,81,82,89,83,81
0034,CBCA202,80,76,76,90,83,89,82,81
0034,CBCA203,82,79,83,81,77,84,81,81
0034,CBCA204,73,81,81,82,76,78,79,81
0035,CBCA201,72,82,79,77,73,83,78,82
0035,CBCA202,84,76,89,80,74,86,82,82
0035,CBCA203,78,82,89,81,75,78,81,82
0035,CBCA204,86,86,90,90,81,85,86,82
0036,CBCA201,55,60,61,53,62,61,59,57
0036,CBCA202,59,57,58,53,52,64,57,57
0036,CBCA203,65,53,53,48,49,57,54,57
0036,CBCA204,63,61,54,60,57,53,58,57
0037,CBCA201,67,58,65,75,62,70,66,65
0037,CBCA202,64,61,59,58,57,72,62,65
0037,CBCA203,60,69,62,72,59,63,64,65
0037,CBCA204,62,72,69,73,66,68,68,65
0038,CBCA201,89,89,75,81,82,82,83,81
0038,CBCA202,73,80,88,76,85,78,80,81
0038,CBCA203,78,84,75,83,77,83,80,81
0038,CBCA204,76,89,76,76,86,83,81,81
0039,CBCA201,95,94,93,100,89,100,95,96
0039,CBCA202,95,98,96,100,100,99,98,96
0039,CBCA203,91,92,97,95,93,95,94,96
0039,CBCA204,91,100,89,100,92,100,95,96
0040,CBCA201,64,64,65,70,57,61,64,64
0040,CBCA202,62,57,65,62,59,59,61,64
0040,CBCA203,56,65,61,64,65,63,62,64
0040,CBCA204,70,63,70,70,66,75,69,64
0041,CBCA201,36,27,33,31,34,24,31,32
0041,CBCA202,30,32,28,24,31,25,28,32
0041,CBCA203,34,27,38,35,28,33,33,32
0041,CBCA204,35,37,40,36,27,32,35,32
0042,CBCA201,34,36,35,34,28,35,34,31
0042,CBCA202,21,32,20,36,25,36,28,31
0042,CBCA203,31,35,35,34,33,35,34,31
0042,CBCA204,26,22,26,22,30,37,27,31
0043,CBCA201,78,78,84,80,74,81,79,80
0043,CBCA202,83,80,77,75,84,80,80,80
0043,CBCA203,77,83,75,80,79,91,81,80
0043,CBCA204,72,73,79,81,81,86,79,80
0044,CBCA201,73,83,78,79,78,87,80,81
0044,CBCA202,93,80,78,77,75,80,81,81
0044,CBCA203,82,83,81,79,83,91,83,81
0044,CBCA204,81,79,79,87,74,74,79,81
0045,CBCA201,100,97,100,91,100,98,98,98
0045,CBCA202,97,100,99,99,94,100,98,98
0045,CBCA203,99,96,96,93,96,98,96,98
0045,CBCA204,100,100,100,100,91,99,98,98
0046,CBCA201,62,45,61,55,47,48,53,54
0046,CBCA202,52,57,46,51,58,52,53,54
0046,CBCA203,56,43,62,51,55,58,54,54
0046,CBCA204,58,59,59,48,57,59,57,54
0047,CBCA201,92,89,82,91,88,89,89,86
0047,CBCA202,79,87,87,72,86,85,83,86
0047,CBCA203,84,88,79,82,91,92,86,86
0047,CBCA204,94,90,92,85,78,93,89,86
0048,CBCA201,100,100,97,98,98,100,99,97
0048,CBCA202,93,100,100,94,100,100,98,97
0048,CBCA203,92,90,100,100,95,92,95,97
0048,CBCA204,92,98,100,100,99,100,98,97
0049,CBCA201,73,79,83,84,80,86,81,81
0049,CBCA202,73,75,80,88,86,76,80,81
0049,CBCA203,82,90,91,73,84,86,84,81
0049,CBCA204,74,79,88,81,78,76,79,81
0050,CBCA201,74,88,72,83,79,80,79,81
0050,CBCA202,78,83,84,87,83,84,83,81
0050,CBCA203,77,76,86,78,77,84,80,81
0050,CBCA204,82,83,78,80,83,86,82,81
0051,CBCA201,71,57,60,65,63,69,64,63
0051,CBCA202,59,65,67,64,65,68,65,63
0051,CBCA203,61,61,62,65,56,67,62,63
0051,CBCA204,61,64,58,59,60,60,60,63
0052,CBCA201,13,19,24,24,18,17,19,21
0052,CBCA202,18,30,17,29,19,18,22,21
0052,CBCA203,20,32,27,14,24,11,21,21
0052,CBCA204,19,10,27,25,27,15,21,21
0053,CBCA201,0,10,2,4,1,0,3,4
0053,CBCA202,10,6,0,0,0,9,4,4
0053,CBCA203,13,4,0,2,0,11,5,4
0053,CBCA204,6,0,0,2,7,12,5,4
0054,CBCA201,96,96,95,100,84,100,95,95
0054,CBCA202,92,92,100,85,90,96,93,95
0054,CBCA203,88,88,100,100,97,100,96,95
0054,CBCA204,100,96,99,90,99,94,96,95
0055,CBCA201,25,22,25,31,28,14,24,24
0055,CBCA202,35,27,28,21,35,24,28,24
0055,CBCA203,27,28,17,19,18,20,22,24
0055,CBCA204,28,21,20,25,28,15,23,24
0056,CBCA201,69,68,67,71,63,56,66,62
0056,CBCA202,58,60,58,60,62,66,61,62
0056,CBCA203,67,55,64,54,65,70,63,62
0056,CBCA204,67,58,67,57,56,60,61,62
0057,CBCA201,90,90,92,91,90,92,91,90
0057,CBCA202,97,85,95,85,89,85,89,90
0057,CBCA203,88,97,87,89,87,87,89,90
0057,CBCA204,88,86,97,88,95,91,91,90
0058,CBCA201,80,65,73,69,67,79,72,71
0058,CBCA202,67,71,61,73,68,66,68,71
0058,CBCA203,72,74,79,73,70,75,74,71
0058,CBCA204,72,78,70,68,75,63,71,71
0059,CBCA201,88,83,85,99,95,87,90,90
0059,CBCA202,95,89,81,98,88,76,88,90
0059,CBCA203,90,85,89,84,95,94,90,90
0059,CBCA204,96,89,84,99,89,99,93,90
0060,CBCA201,91,85,93,85,87,91,89,89
0060,CBCA202,98,82,90,89,92,87,90,89
0060,CBCA203,91,92,90,95,89,83,90,89
0060,CBCA204,84,99,82,89,84,86,87,89
0061,CBCA201,57,61,49,48,56,48,53,54
0061,CBCA202,54,54,61,51,53,57,55,54
0061,CBCA203,58,50,48,48,50,55,52,54
0061,CBCA204,60,54,58,61,51,53,56,54
0062,CBCA201,68,59,56,68,64,70,64,65
0062,CBCA202,59,61,69,66,74,65,66,65
0062,CBCA203,55,61,72,72,59,55,62,65
0062,CBCA204,63,76,54,76,66,65,67,65
0063,CBCA201,12,7,8,13,0,0,7,7
0063,CBCA202,15,0,3,5,4,0,5,7
0063,CBCA203,9,13,10,4,7,8,9,7
0063,CBCA204,14,6,11,0,9,11,9,7
0064,CBCA201,66,67,78,76,79,74,73,75
0064,CBCA202,82,71,69,73,67,75,73,75
0064,CBCA203,75,79,74,81,83,71,77,75
0064,CBCA204,80,70,73,66,75,85,75,75
0065,CBCA201,10,16,14,6,20,15,14,12
0065,CBCA202,15,7,10,16,11,13,12,12
0065,CBCA203,3,7,7,2,12,13,7,12
0065,CBCA204,22,16,21,13,5,16,16,12
0066,CBCA201,79,87,75,80,80,84,81,80
0066,CBCA202,85,85,81,87,69,84,82,80
0066,CBCA203,77,76,87,78,77,85,80,80
0066,CBCA204,84,79,81,71,76,78,78,80
0067,CBCA201,51,47,45,42,61,54,50,52
0067,CBCA202,59,52,58,55,52,55,55,52
0067,CBCA203,53,60,41,62,51,43,52,52
0067,CBCA204,42,59,47,54,47,46,49,52
0068,CBCA201,36,29,44,35,36,30,35,37
0068,CBCA202,42,48,41,39,37,30,40,37
0068,CBCA203,32,41,39,31,41,41,38,37
0068,CBCA204,39,40,33,38,46,25,37,37
0069,CBCA201,78,82,77,79,74,73,77,81
0069,CBCA202,79,89,86,90,84,84,85,81
0069,CBCA203,85,80,79,78,82,85,82,81
0069,CBCA204,73,73,82,82,79,85,79,81
0070,CBCA201,69,71,74,73,74,79,73,73
0070,CBCA202,71,81,67,64,64,74,70,73
0070,CBCA203,71,75,77,74,69,75,74,73
0070,CBCA204,67,71,75,73,75,81,74,73
0071,CBCA201,69,62,64,72,55,68,65,66
0071,CBCA202,62,65,66,68,77,62,67,66
0071,CBCA203,73,67,64,71,66,66,68,66
0071,CBCA204,63,68,60,64,61,64,63,66
0072,CBCA201,80,79,79,74,71,70,76,73
0072,CBCA202,68,62,70,77,80,69,71,73
0072,CBCA203,69,71,67,76,64,77,71,73
0072,CBCA204,67,70,80,73,73,78,74,73
0073,CBCA201,0,1,10,0,1,0,2,3
0073,CBCA202,1,1,0,0,3,13,3,3
0073,CBCA203,5,0,2,0,2,0,2,3
0073,CBCA204,9,5,9,6,2,12,7,3
0074,CBCA201,100,95,91,95,94,95,95,94
0074,CBCA202,89,95,96,84,100,95,93,94
0074,CBCA203,92,100,99,85,86,95,93,94
0074,CBCA204,88,100,99,93,87,100,95,94
0075,CBCA201,42,59,58,54,50,57,53,50
0075,CBCA202,50,50,48,50,46,44,48,50
0075,CBCA203,56,49,50,43,52,49,50,50
0075,CBCA204,46,39,54,50,52,49,48,50
0076,CBCA201,78,86,82,75,71,83,79,80
0076,CBCA202,79,77,76,80,79,87,80,80
0076,CBCA203,89,71,84,83,80,91,83,80
0076,CBCA204,80,74,82,74,88,76,79,80
0077,CBCA201,47,35,45,48,40,41,43,43
0077,CBCA202,47,49,42,40,39,45,44,43
0077,CBCA203,37,44,41,33,41,52,41,43
0077,CBCA204,43,45,40,52,35,51,44,43
0078,CBCA201,91,87,80,87,74,84,84,83
0078,CBCA202,79,82,84,74,88,84,82,83
0078,CBCA203,76,89,76,84,79,77,80,83
0078,CBCA204,78,90,92,77,80,92,85,83
0079,CBCA201,94,93,88,89,98,79,90,89
0079,CBCA202,86,89,83,100,84,81,87,89
0079,CBCA203,90,88,98,96,82,86,90,89
0079,CBCA204,88,94,99,81,90,87,90,89
0080,CBCA201,53,58,62,64,61,60,60,60
0080,CBCA202,58,70,51,63,58,62,60,60
0080,CBCA203,61,58,62,58,61,64,61,60
0080,CBCA204,51,58,59,66,70,63,61,60
0081,CBCA201,100,89,92,99,94,92,94,91
0081,CBCA202,84,88,90,93,85,81,87,91
0081,CBCA203,90,96,93,91,96,94,93,91
0081,CBCA204,80,93,86,95,88,95,90,91
0082,CBCA201,85,81,88,86,85,79,84,83
0082,CBCA202,76,86,75,84,88,90,83,83
0082,CBCA203,83,78,90,84,76,86,83,83
0082,CBCA204,83,73,90,82,87,79,82,83
0083,CBCA201,30,36,24,24,37,23,29,28
0083,CBCA202,28,19,26,25,24,21,24,28
0083,CBCA203,33,32,29,35,27,25,30,28
0083,CBCA204,35,24,29,28,31,26,29,28
0084,CBCA201,29,27,27,26,21,19,25,26
0084,CBCA202,19,22,21,26,26,23,23,26
0084,CBCA203,29,31,25,34,28,33,30,26
0084,CBCA204,28,32,23,29,25,29,28,26
0085,CBCA201,77,78,75,82,82,82,79,80
0085,CBCA202,85,79,87,88,84,74,83,80
0085,CBCA203,75,76,84,81,80,80,79,80
0085,CBCA204,85,79,77,80,81,79,80,80
0086,CBCA201,88,82,82,87,73,82,82,83
0086,CBCA202,82,93,88,82,73,82,83,83
0086,CBCA203,82,82,92,79,87,73,83,83
0086,CBCA204,82,77,80,92,81,85,83,83
0087,CBCA201,67,63,67,59,59,59,62,57
0087,CBCA202,65,67,55,52,55,54,58,57
0087,CBCA203,53,55,47,60,54,55,54,57
0087,CBCA204,56,49,55,50,52,63,54,57
0088,CBCA201,31,33,23,37,35,42,34,33
0088,CBCA202,33,42,33,42,32,27,35,33
0088,CBCA203,37,33,30,34,37,25,33,33
0088,CBCA204,32,34,32,37,26,34,33,33
0089,CBCA201,83,80,79,82,78,90,82,86
0089,CBCA202,79,87,94,90,92,87,88,86
0089,CBCA203,79,86,89,91,82,96,87,86
0089,CBCA204,89,87,88,86,73,94,86,86
0090,CBCA201,83,75,85,77,78,73,79,80
0090,CBCA202,87,87,74,71,80,78,80,80
0090,CBCA203,79,84,79,85,77,87,82,80
0090,CBCA204,80,74,83,81,88,86,82,80
0091,CBCA201,74,77,81,71,76,69,75,81
0091,CBCA202,89,90,78,78,86,87,85,81
0091,CBCA203,84,87,83,81,83,76,82,81
0091,CBCA204,80,76,81,82,89,80,81,81
0092,CBCA201,43,51,54,65,57,43,52,56
0092,CBCA202,48,57,65,62,58,52,57,56
0092,CBCA203,54,61,51,62,62,54,57,56
0092,CBCA204,52,65,51,52,57,61,56,56
0093,CBCA201,88,84,88,90,93,92,89,89
0093,CBCA202,98,93,86,92,87,89,91,89
0093,CBCA203,92,85,84,86,88,85,87,89
0093,CBCA204,89,90,81,90,90,90,88,89
0094,CBCA201,69,71,77,69,75,83,74,73
0094,CBCA202,75,78,66,72,70,76,73,73
0094,CBCA203,76,74,76,71,77,78,75,73
0094,CBCA204,80,70,73,65,68,74,72,73
0095,CBCA201,79,82,84,89,90,83,85,86
0095,CBCA202,87,87,78,88,83,85,85,86
0095,CBCA203,83,97,92,86,93,83,89,86
0095,CBCA204,83,89,82,90,79,86,85,86
0096,CBCA201,89,89,97,87,96,88,91,87
0096,CBCA202,88,91,88,83,89,85,87,87
0096,CBCA203,86,94,84,87,85,86,87,87
0096,CBCA204,85,88,87,80,83,83,84,87
0097,CBCA201,49,50,60,39,48,50,49,50
0097,CBCA202,48,53,46,46,61,47,50,50
0097,CBCA203,55,54,45,46,43,49,49,50
0097,CBCA204,48,56,54,48,53,57,53,50
0098,CBCA201,63,60,58,59,57,61,60,61
0098,CBCA202,57,64,58,54,66,61,60,61
0098,CBCA203,63,58,57,65,59,55,60,61
0098,CBCA204,68,73,65,64,57,56,64,61
0099,CBCA201,100,93,100,96,97,98,97,96
0099,CBCA202,89,91,96,94,100,100,95,96
0099,CBCA203,95,96,95,99,100,94,97,96
0099,CBCA204,89,96,100,96,100,97,96,96
0100,CBCA201,41,35,36,47,39,37,39,42
0100,CBCA202,44,43,35,54,44,38,43,42
0100,CBCA203,43,42,53,50,42,47,46,42
0100,CBCA204,33,40,43,38,39,43,39,42
0101,CBCA201,85,84,84,85,73,76,81,78
0101,CBCA202,74,72,79,74,77,81,76,78
0101,CBCA203,77,72,82,81,76,75,77,78
0101,CBCA204,79,84,78,82,75,70,78,78
0102,CBCA201,87,76,79,90,83,81,83,83
0102,CBCA202,82,83,77,81,89,86,83,83
0102,CBCA203,80,77,84,87,85,89,84,83
0102,CBCA204,80,86,71,84,84,86,82,83
0103,CBCA201,41,47,47,43,40,47,44,43
0103,CBCA202,48,43,35,46,46,52,45,43
0103,CBCA203,40,54,38,47,37,41,43,43
0103,CBCA204,39,36,32,41,49,35,39,43
0104,CBCA201,100,100,100,100,98,94,99,99
0104,CBCA202,99,100,100,95,97,100,99,99
0104,CBCA203,100,98,95,100,100,100,99,99
0104,CBCA204,99,98,94,99,98,100,98,99
0105,CBCA201,49,53,49,61,59,51,54,52
0105,CBCA202,48,51,42,48,51,44,47,52
0105,CBCA203,57,56,54,56,55,46,54,52
0105,CBCA204,54,55,51,46,53,47,51,52
0106,CBCA201,24,26,31,31,32,32,29,29
0106,CBCA202,32,30,30,35,27,28,30,29
0106,CBCA203,31,20,34,25,23,22,26,29
0106,CBCA204,33,33,36,23,29,19,29,29
0107,CBCA201,66,64,75,82,71,70,71,70
0107,CBCA202,67,69,63,71,77,68,69,70
0107,CBCA203,61,70,73,61,65,76,68,70
0107,CBCA204,71,81,66,81,73,65,73,70
0108,CBCA201,51,59,54,47,52,41,51,51
0108,CBCA202,53,55,45,52,48,60,52,51
0108,CBCA203,56,51,42,53,52,43,50,51
0108,CBCA204,49,58,49,59,50,47,52,51
0109,CBCA201,53,56,47,58,46,52,52,57
0109,CBCA202,58,67,58,54,65,66,61,57
0109,CBCA203,49,54,60,59,56,53,55,57
0109,CBCA204,63,62,59,54,60,48,58,57
0110,CBCA201,78,87,72,74,82,73,78,77
0110,CBCA202,72,81,79,68,76,76,75,77
0110,CBCA203,81,85,77,73,76,71,77,77
0110,CBCA204,75,79,82,76,75,77,77,77
0111,CBCA201,76,83,84,80,82,76,80,82
0111,CBCA202,83,92,78,83,79,78,82,82
0111,CBCA203,84,87,82,87,91,80,85,82
0111,CBCA204,86,76,75,84,89,84,82,82
0112,CBCA201,64,71,64,64,73,78,69,69
0112,CBCA202,69,72,72,70,66,65,69,69
0112,CBCA203,72,70,66,61,79,63,69,69
0112,CBCA204,69,67,64,78,76,74,71,69
0113,CBCA201,63,66,69,70,57,63,65,64
0113,CBCA202,60,60,65,70,60,59,62,64
0113,CBCA203,69,70,69,71,66,57,67,64
0113,CBCA204,57,55,54,65,63,66,60,64
0114,CBCA201,57,60,57,53,55,46,55,53
0114,CBCA202,55,57,44,52,54,49,52,53
0114,CBCA203,59,51,44,59,53,58,54,53
0114,CBCA204,56,44,43,55,61,57,53,53
0115,CBCA201,92,79,92,81,93,91,88,88
0115,CBCA202,89,85,88,91,84,85,87,88
0115,CBCA203,81,81,88,95,82,90,86,88
0115,CBCA204,96,91,90,81,90,90,90,88
0116,CBCA201,51,47,56,52,57,47,52,52
0116,CBCA202,52,56,44,51,62,46,52,52
0116,CBCA203,44,45,47,60,57,47,50,52
0116,CBCA204,45,59,54,50,51,59,53,52
0117,CBCA201,80,70,68,86,74,73,75,76
0117,CBCA202,68,79,78,69,73,82,75,76
0117,CBCA203,71,78,78,77,79,80,77,76
0117,CBCA204,80,70,72,82,76,76,76,76
0118,CBCA201,54,67,50,57,56,61,58,58
0118,CBCA202,59,63,55,52,50,63,57,58
0118,CBCA203,65,60,51,61,49,65,59,58
0118,CBCA204,61,55,54,58,65,69,60,58
0119,CBCA201,99,96,98,96,100,91,97,96
0119,CBCA202,100,100,98,94,96,91,97,96
0119,CBCA203,94,86,99,96,96,100,95,96
0119,CBCA204,100,99,98,92,96,95,97,96
0120,CBCA201,69,67,73,72,66,62,68,65
0120,CBCA202,71,59,62,65,60,70,65,65
0120,CBCA203,60,59,66,64,70,64,64,65
0120,CBCA204,66,72,71,62,63,57,65,65
0121,CBCA201,59,61,60,67,63,64,62,57
0121,CBCA202,57,57,58,54,61,57,57,57
0121,CBCA203,57,55,49,55,49,58,54,57
0121,CBCA204,57,54,50,61,47,63,55,57
0122,CBCA201,43,40,35,32,31,38,37,34
0122,CBCA202,32,37,36,33,31,37,34,34
0122,CBCA203,25,39,43,45,33,36,37,34
0122,CBCA204,32,28,32,27,34,27,30,34
0123,CBCA201,77,79,85,79,75,85,80,80
0123,CBCA202,86,82,81,72,75,83,80,80
0123,CBCA203,79,77,86,79,67,70,76,80
0123,CBCA204,77,89,86,77,78,85,82,80
0124,CBCA201,86,71,73,80,78,78,78,77
0124,CBCA202,82,73,79,70,75,77,76,77
0124,CBCA203,78,79,86,78,78,77,79,77
0124,CBCA204,74,86,73,75,71,74,76,77
0125,CBCA201,64,66,64,77,56,69,66,67
0125,CBCA202,65,57,76,67,62,72,67,67
0125,CBCA203,67,71,75,69,65,68,69,67
0125,CBCA204,55,72,73,71,70,68,68,67
0126,CBCA201,96,89,92,90,85,82,89,89
0126,CBCA202,92,81,90,98,89,84,89,89
0126,CBCA203,90,91,89,87,92,84,89,89
0126,CBCA204,96,86,86,94,93,90,91,89
0127,CBCA201,61,47,48,54,52,65,55,57
0127,CBCA202,60,61,55,53,59,62,58,57
0127,CBCA203,51,57,55,57,52,68,57,57
0127,CBCA204,60,56,67,52,56,65,59,57
0128,CBCA201,34,43,45,52,54,49,46,43
0128,CBCA202,53,41,47,35,46,43,44,43
0128,CBCA203,36,34,38,46,41,51,41,43
0128,CBCA204,40,39,43,40,35,35,39,43
0129,CBCA201,60,69,70,69,72,55,66,64
0129,CBCA202,75,66,69,69,55,65,67,64
0129,CBCA203,57,60,66,56,66,63,61,64
0129,CBCA204,64,56,65,65,59,70,63,64
0130,CBCA201,88,87,79,87,83,92,86,86
0130,CBCA202,80,96,83,92,85,90,88,86
0130,CBCA203,87,84,92,91,86,84,87,86
0130,CBCA204,78,87,93,88,84,79,85,86
0131,CBCA201,6,21,18,17,14,11,15,16
0131,CBCA202,16,24,22,12,19,21,19,16
0131,CBCA203,18,13,11,16,18,20,16,16
0131,CBCA204,7,16,17,17,15,26,16,16
0132,CBCA201,67,58,55,60,57,66,61,59
0132,CBCA202,58,56,56,66,53,60,58,59
0132,CBCA203,70,53,55,62,63,50,59,59
0132,CBCA204,58,64,59,54,53,60,58,59
0133,CBCA201,74,71,68,74,75,70,72,71
0133,CBCA202,72,79,60,70,75,69,71,71
0133,CBCA203,79,82,71,61,65,80,73,71
0133,CBCA204,75,75,66,68,62,73,70,71
0134,CBCA201,74,75,81,87,69,80,78,80
0134,CBCA202,78,80,80,82,89,88,83,80
0134,CBCA203,77,79,77,87,81,74,79,80
0134,CBCA204,86,78,83,69,82,72,78,80
0135,CBCA201,52,56,60,51,53,62,56,56
0135,CBCA202,52,65,56,56,61,63,59,56
0135,CBCA203,46,55,56,66,68,55,58,56
0135,CBCA204,48,53,52,52,59,56,53,56
0136,CBCA201,82,88,86,84,89,91,87,84
0136,CBCA202,79,77,87,77,81,87,81,84
0136,CBCA203,82,88,92,77,76,88,84,84
0136,CBCA204,91,76,89,92,81,85,86,84
0137,CBCA201,94,80,94,88,90,93,90,89
0137,CBCA202,97,99,97,80,83,88,91,89
0137,CBCA203,89,86,92,82,88,94,89,89
0137,CBCA204,89,92,87,87,87,91,89,89
0138,CBCA201,83,67,77,69,71,74,74,75
0138,CBCA202,68,76,76,70,71,72,72,75
0138,CBCA203,74,80,81,81,79,74,78,75
0138,CBCA204,72,68,81,70,77,78,74,75
0139,CBCA201,92,93,90,88,87,89,90,88
0139,CBCA202,89,88,87,79,92,88,87,88
0139,CBCA203,94,94,84,90,91,81,89,88
0139,CBCA204,87,83,78,86,89,88,85,88
0140,CBCA201,89,89,90,92,79,91,88,87
